BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
0112001,官公庁・団体・福祉,漁業協同組合,漁業協同組合
0112999,官公庁・団体・福祉,漁業協同組合,漁業協同組合関連
0113001,官公庁・団体・福祉,組合・団体関連,ＮＰＯ
0113003,官公庁・団体・福祉,組合・団体関連,リハビリテーション科医療組合・団体
0113004,官公庁・団体・福祉,組合・団体関連,医師会
0113005,官公庁・団体・福祉,組合・団体関連,医療組合・団体
0113006,官公庁・団体・福祉,組合・団体関連,援護団体
0113007,官公庁・団体・福祉,組合・団体関連,学術団体
0113008,官公庁・団体・福祉,組合・団体関連,文化学術団体
0113009,官公庁・団体・福祉,組合・団体関連,環境保護団体
0113010,官公庁・団体・福祉,組合・団体関連,漁業団体
0113011,官公庁・団体・福祉,組合・団体関連,共済組合
0113012,官公庁・団体・福祉,組合・団体関連,教育団体
0113013,官公庁・団体・福祉,組合・団体関連,啓発団体
0113014,官公庁・団体・福祉,組合・団体関連,経済組合・団体
0113015,官公庁・団体・福祉,組合・団体関連,健康保険組合
0113016,官公庁・団体・福祉,組合・団体関連,互助会
0113017,官公庁・団体・福祉,組合・団体関連,公共団体
0113018,官公庁・団体・福祉,組合・団体関連,公社
0113019,官公庁・団体・福祉,組合・団体関連,公認会計士協会
0113020,官公庁・団体・福祉,組合・団体関連,行政書士会
0113021,官公庁・団体・福祉,組合・団体関連,国際親善団体
0113022,官公庁・団体・福祉,組合・団体関連,司法書士会
0113023,官公庁・団体・福祉,組合・団体関連,市民団体
0113024,官公庁・団体・福祉,組合・団体関連,歯科医師会
0113025,官公庁・団体・福祉,組合・団体関連,事業協同組合
0113026,官公庁・団体・福祉,組合・団体関連,事業団
0113027,官公庁・団体・福祉,組合・団体関連,慈善事業団体
0113028,官公庁・団体・福祉,組合・団体関連,自治会
0113029,官公庁・団体・福祉,組合・団体関連,自然保護団体
0113030,官公庁・団体・福祉,組合・団体関連,社会事業団体
0113031,官公庁・団体・福祉,組合・団体関連,社会生活組合・団体
0113032,官公庁・団体・福祉,組合・団体関連,社会福祉事業
0113033,官公庁・団体・福祉,組合・団体関連,社会保険事業団体
0113034,官公庁・団体・福祉,組合・団体関連,社会保険組合・団体
0113035,官公庁・団体・福祉,組合・団体関連,社会保険労務士会
0113036,官公庁・団体・福祉,組合・団体関連,住宅管理組合
0113037,官公庁・団体・福祉,組合・団体関連,獣医師会
0113038,官公庁・団体・福祉,組合・団体関連,商工会議所
0113039,官公庁・団体・福祉,組合・団体関連,商工業協同組合
0113040,官公庁・団体・福祉,組合・団体関連,商工業団体
0113041,官公庁・団体・福祉,組合・団体関連,消費者団体
0113042,官公庁・団体・福祉,組合・団体関連,消費生活センター
0113043,官公庁・団体・福祉,組合・団体関連,森林組合
0113044,官公庁・団体・福祉,組合・団体関連,親睦団体
0113045,官公庁・団体・福祉,組合・団体関連,人間ドック医療組合・団体
0113046,官公庁・団体・福祉,組合・団体関連,水産加工業協同組合
0113047,官公庁・団体・福祉,組合・団体関連,政治後援会
0113048,官公庁・団体・福祉,組合・団体関連,政治団体
0113049,官公庁・団体・福祉,組合・団体関連,政党
0113050,官公庁・団体・福祉,組合・団体関連,青色申告会
0113051,官公庁・団体・福祉,組合・団体関連,青年会議所
0113052,官公庁・団体・福祉,組合・団体関連,税理士会
0113053,官公庁・団体・福祉,組合・団体関連,団体・組合
0113054,官公庁・団体・福祉,組合・団体関連,地域住民団体
0113055,官公庁・団体・福祉,組合・団体関連,中小企業団体
0113056,官公庁・団体・福祉,組合・団体関連,土地家屋調査士会
0113057,官公庁・団体・福祉,組合・団体関連,動物愛護団体
0113058,官公庁・団体・福祉,組合・団体関連,同業組合
0113059,官公庁・団体・福祉,組合・団体関連,同業団体
0113060,官公庁・団体・福祉,組合・団体関連,農業団体
0113061,官公庁・団体・福祉,組合・団体関連,農林水産組合・団体
0113062,官公庁・団体・福祉,組合・団体関連,福祉団体
0113063,官公庁・団体・福祉,組合・団体関連,文化団体
0113064,官公庁・団体・福祉,組合・団体関連,弁護士会
0113065,官公庁・団体・福祉,組合・団体関連,奉仕団体
0113066,官公庁・団体・福祉,組合・団体関連,薬剤師会
0113067,官公庁・団体・福祉,組合・団体関連,林業団体
0113068,官公庁・団体・福祉,組合・団体関連,労働組合・団体
0113069,官公庁・団体・福祉,組合・団体関連,ライオンズクラブ
0113070,官公庁・団体・福祉,組合・団体関連,ロータリークラブ
0113072,官公庁・団体・福祉,組合・団体関連,ボランティアグループ
0113073,官公庁・団体・福祉,組合・団体関連,スポーツ趣味組合
0113075,官公庁・団体・福祉,組合・団体関連,スポーツ団体
0113999,官公庁・団体・福祉,組合・団体関連,組合・団体関連
0114001,官公庁・団体・福祉,公民館・集会場,会館・ホールイベントホール
0114999,官公庁・団体・福祉,公民館・集会場,公民館・集会場関連
0115001,官公庁・団体・福祉,研究所・研修所,医学・薬学研究所
0115002,官公庁・団体・福祉,研究所・研修所,工学研究所
0115003,官公庁・団体・福祉,研究所・研修所,農学研究所
0115004,官公庁・団体・福祉,研究所・研修所,理学研究所
0115999,官公庁・団体・福祉,研究所・研修所,研究所・研修所関連
0116001,官公庁・団体・福祉,福祉関連施設,ケアハウス
0116003,官公庁・団体・福祉,福祉関連施設,ケアプラン作成事業老人福祉施設
0116005,官公庁・団体・福祉,福祉関連施設,デイサービス
0116007,官公庁・団体・福祉,福祉関連施設,介護相談サービス介護老人保健施設
0116009,官公庁・団体・福祉,福祉関連施設,更生保護事業
0116010,官公庁・団体・福祉,福祉関連施設,児童福祉事業
0116011,官公庁・団体・福祉,福祉関連施設,人間ドック老人福祉施設
0116012,官公庁・団体・福祉,福祉関連施設,短期入所介護事業
0116018,官公庁・団体・福祉,福祉関連施設,福祉施設
0116019,官公庁・団体・福祉,福祉関連施設,福祉事務所
0116021,官公庁・団体・福祉,福祉関連施設,訪問リハビリテーション
0116022,官公庁・団体・福祉,福祉関連施設,訪問介護事業
0116023,官公庁・団体・福祉,福祉関連施設,訪問看護ステーション
0116026,官公庁・団体・福祉,福祉関連施設,訪問入浴介護
0116028,官公庁・団体・福祉,福祉関連施設,訪問理美容
0116029,官公庁・団体・福祉,福祉関連施設,有料老人ホーム
0116032,官公庁・団体・福祉,福祉関連施設,老人介護支援センター
0116034,官公庁・団体・福祉,福祉関連施設,老人福祉事業
0116999,官公庁・団体・福祉,福祉関連施設,福祉施設関連
0117001,官公庁・団体・福祉,公共施設関連,公共施設
0117999,官公庁・団体・福祉,公共施設関連,公共施設関連
1201001,販売・卸,商社・貿易,オーディオ製品買取業
1201002,販売・卸,商社・貿易,オートバイ買取自転車店
1201003,販売・卸,商社・貿易,オートバイ部品・用品オートバイ買取業
1201004,販売・卸,商社・貿易,おもちゃ買取業
1201008,販売・卸,商社・貿易,ピアノ買取業
1201009,販売・卸,商社・貿易,ブランド品買取業
1201015,販売・卸,商社・貿易,記念切手・コインショップ
1201024,販売・卸,商社・貿易,書籍販売取次業
1201025,販売・卸,商社・貿易,商社
1201028,販売・卸,商社・貿易,贈答品店リサイクルショップ
1201029,販売・卸,商社・貿易,中古ＣＤ買取業
1201035,販売・卸,商社・貿易,貿易業
1201999,販売・卸,商社・貿易,商社・貿易関連
1202035,販売・卸,食料品・飲料品（卸売）,飲料卸売業
1202043,販売・卸,食料品・飲料品（卸売）,海産物卸売業
1202048,販売・卸,食料品・飲料品（卸売）,給食用食品卸売業
1202050,販売・卸,食料品・飲料品（卸売）,業務用食料品卸売業
1202051,販売・卸,食料品・飲料品（卸売）,業務用調味料卸売業
1202070,販売・卸,食料品・飲料品（卸売）,茶卸売業
1202075,販売・卸,食料品・飲料品（卸売）,氷卸売業
1202077,販売・卸,食料品・飲料品（卸売）,冷凍水産物製造・卸売業
1202078,販売・卸,食料品・飲料品（卸売）,冷凍食肉製造・卸売業
1202079,販売・卸,食料品・飲料品（卸売）,冷凍食品卸売業
1202090,販売・卸,食料品・飲料品（卸売）,菓子卸売業
1202091,販売・卸,食料品・飲料品（卸売）,生鮮食品卸売業
1202094,販売・卸,食料品・飲料品（卸売）,食品加工卸売業
1202095,販売・卸,食料品・飲料品（卸売）,食料品卸売業
1202097,販売・卸,食料品・飲料品（卸売）,青果物卸売業
1202099,販売・卸,食料品・飲料品（卸売）,仲卸業
1202102,販売・卸,食料品・飲料品（卸売）,水産物卸売業
1202103,販売・卸,食料品・飲料品（卸売）,小麦粉・穀粉卸売業
1202104,販売・卸,食料品・飲料品（卸売）,食肉卸売業
1202105,販売・卸,食料品・飲料品（卸売）,魚市場
1202999,販売・卸,食料品・飲料品（卸売）,食料品・飲料品卸売業関連
1203001,販売・卸,カー用品（卸売）,カー用品卸売業
1203007,販売・卸,カー用品（卸売）,自転車卸売業
1203010,販売・卸,カー用品（卸売）,自動車卸売業
1203011,販売・卸,カー用品（卸売）,自動車卸売・中古車買取業
